trial_id,registrado_em,participante,kata,tratamento,ordem,inicio,fim,duracao_segundos,duracao_hms,time_box_segundos,censurado,sucesso,testes_passando,testes_total,taxa_sucesso,num_prompts_ia,observacoes,medido_em,arquivos_analisados,loc,linhas_comentario,num_funcoes,complexidade_ciclomatica_media,complexidade_ciclomatica_max,complexidade_total,duplicacao_percentual,linhas_duplicadas,clones_detectados,volume_halstead,indice_manutenibilidade,ferramenta_versao
caue_kata-06_sem-ia,2026-09-17T02:32:19.644Z,caue,kata-06,sem-ia,1,2026-09-17T02:13:13.808Z,2026-09-17T02:32:19.644Z,1146,00:19:06,2100,0,1,12,12,1,0,"tirou duvidas de procedimento com IA (onde escrever, arquivo nao salvo), sem ajuda na logica",2026-09-23T11:30:30.350Z,1,79,1,3,5,13,15,0,0,0,3460.82,31.81,metricas.js v1 / node v23.1.0
caue_kata-03_com-ia,2026-09-17T02:40:14.578Z,caue,kata-03,com-ia,2,2026-09-17T02:34:19.439Z,2026-09-17T02:40:14.578Z,355,00:05:55,2100,0,1,12,12,1,2,testes passaram por volta de 4min26s; parada atrasada por duvida de procedimento,2026-09-23T11:30:30.350Z,1,35,7,1,12,12,12,0,0,0,1885.62,41.77,metricas.js v1 / node v23.1.0
caue_kata-01_sem-ia,2026-09-17T02:57:46.938Z,caue,kata-01,sem-ia,3,2026-09-17T02:43:04.805Z,2026-09-17T02:57:46.938Z,882,00:14:42,2100,0,1,12,12,1,0,"duvidas de procedimento com IA (comandos de teste e de parar), sem ajuda na logica",2026-09-23T11:30:30.350Z,1,32,0,5,3,8,15,0,0,0,1488.62,42.93,metricas.js v1 / node v23.1.0
caue_kata-04_com-ia,2026-09-17T04:08:56.783Z,caue,kata-04,com-ia,4,2026-09-17T04:07:46.799Z,2026-09-17T04:08:56.783Z,70,00:01:10,2100,0,1,12,12,1,2,"abriu solucao-referencia do kata-04 por engano antes do trial, sem ler",2026-09-23T11:30:30.350Z,1,62,7,2,8.5,16,17,0,0,0,2320.15,35.05,metricas.js v1 / node v23.1.0
caue_kata-02_sem-ia,2026-09-17T04:36:31.927Z,caue,kata-02,sem-ia,5,2026-09-17T04:13:03.774Z,2026-09-17T04:36:31.927Z,1408,00:23:28,2100,0,1,12,12,1,0,,2026-09-23T11:30:30.350Z,1,34,0,2,7.5,13,15,0,0,0,1060.74,43.39,metricas.js v1 / node v23.1.0
caue_kata-05_com-ia,2026-09-17T04:39:08.912Z,caue,kata-05,com-ia,6,2026-09-17T04:37:39.465Z,2026-09-17T04:39:08.912Z,89,00:01:29,2100,0,1,12,12,1,1,,2026-09-23T11:30:30.350Z,1,45,4,2,10,16,20,0,0,0,2369.6,37.62,metricas.js v1 / node v23.1.0
enzo_kata-01_com-ia,2026-09-23T11:28:26.795Z,enzo,kata-01,com-ia,1,2026-09-23T11:28:09.232Z,2026-09-23T11:28:26.795Z,18,00:00:18,2100,0,1,12,12,1,1,"Enzo com Claude: colei o enunciado, Claude sugeriu a solucao completa (pipeline de map por linha + colapso/trim de blocos), rodei os testes e passou de primeira.",2026-09-23T11:30:30.350Z,1,48,2,7,2.57,5,18,0,0,0,2111.57,37.63,metricas.js v1 / node v23.1.0
enzo_kata-04_sem-ia,2026-09-23T11:38:55.615Z,enzo,kata-04,sem-ia,2,2026-09-23T11:28:34.615Z,2026-09-23T11:38:55.615Z,621,00:10:21,2100,0,1,12,12,1,,"sem-ia: resolvido manualmente, sem assistente aberto; encadeamento das 3 validacoes de recusa e round(x*100)/100 direto",2026-09-23T11:30:30.350Z,1,36,2,6,2.5,9,15,0,0,0,1820.4,41.21,metricas.js v1 / node v23.1.0
enzo_kata-02_com-ia,2026-09-23T11:29:14.706Z,enzo,kata-02,com-ia,3,2026-09-23T11:28:58.926Z,2026-09-23T11:29:14.706Z,16,00:00:16,2100,0,1,12,12,1,1,"Enzo com Claude: pedi a estrategia de deteccao de sobreposicao (fim exclusivo) por sala usando um Map, Claude gerou a solucao, validei contra os exemplos do enunciado antes de rodar os testes.",2026-09-23T11:30:30.350Z,1,34,2,4,4.25,10,17,0,0,0,1529.68,42.01,metricas.js v1 / node v23.1.0
enzo_kata-05_sem-ia,2026-09-23T11:37:35.345Z,enzo,kata-05,sem-ia,4,2026-09-23T11:29:18.345Z,2026-09-23T11:37:35.345Z,497,00:08:17,2100,0,1,12,12,1,,"sem-ia: resolvido manualmente; comparador multichave (pontos, vitorias, saldo, nome) e reuso da posicao do anterior quando ha empate total",2026-09-23T11:30:30.350Z,1,36,2,4,4.75,6,19,0,0,0,2115.51,40.21,metricas.js v1 / node v23.1.0
enzo_kata-03_com-ia,2026-09-23T11:29:56.955Z,enzo,kata-03,com-ia,5,2026-09-23T11:29:39.071Z,2026-09-23T11:29:56.955Z,18,00:00:18,2100,0,1,12,12,1,1,"Enzo com Claude: pedi a regra de horas iniciadas (ceil) e o teto diario, Claude sugeriu parseHoraMin + validarTabela + ceil((duracao-60)/60), conferi contra os 4 exemplos do enunciado.",2026-09-23T11:30:30.350Z,1,35,2,3,4.33,5,13,0,0,0,1749.42,41.86,metricas.js v1 / node v23.1.0
enzo_kata-06_sem-ia,2026-09-23T11:44:26.435Z,enzo,kata-06,sem-ia,6,2026-09-23T11:30:00.435Z,2026-09-23T11:44:26.435Z,866,00:14:26,2100,0,1,12,12,1,,"sem-ia: resolvido manualmente; datas em UTC (Date.UTC/getUTCDay) para evitar fuso, dias uteis por incremento com contagem condicional, proxima <dia> sempre avanca ao menos 1 dia",2026-09-23T11:30:30.350Z,1,78,2,8,2.75,10,22,0,0,0,4184.77,30.41,metricas.js v1 / node v23.1.0
